"id","code","name","district_id:id"
"neighborhood_Santa_Bárbara_Pavas_San_José_SJ","23","Santa Bárbara","district_Pavas_San_José_SJ"
"neighborhood_Santa_Catalina_Pavas_San_José_SJ","24","Santa Catalina","district_Pavas_San_José_SJ"
"neighborhood_Santa_Fé_Pavas_San_José_SJ","25","Santa Fé","district_Pavas_San_José_SJ"
"neighborhood_Triángulo_Pavas_San_José_SJ","26","Triángulo","district_Pavas_San_José_SJ"
"neighborhood_Villa_Esperanza__Pavas_San_José_SJ","27","Villa Esperanza","district_Pavas_San_José_SJ"
"neighborhood_Belgrano_Hatillo_San_José_SJ","02","Bajo Cañada (parte)","district_Hatillo_San_José_SJ"
"neighborhood_Hatillo_Centro_Hatillo_San_José_SJ","03","Belgrano","district_Hatillo_San_José_SJ"
"neighborhood_Hatillo_1_Hatillo_San_José_SJ","04","Hatillo 1","district_Hatillo_San_José_SJ"
"neighborhood_Hatillo_2_Hatillo_San_José_SJ","05","Hatillo 2","district_Hatillo_San_José_SJ"
"neighborhood_Hatillo_3_Hatillo_San_José_SJ","06","Hatillo 3","district_Hatillo_San_José_SJ"
"neighborhood_Hatillo_4_Hatillo_San_José_SJ","07","Hatillo 4","district_Hatillo_San_José_SJ"
"neighborhood_Hatillo_5_Hatillo_San_José_SJ","08","Hatillo 5","district_Hatillo_San_José_SJ"
"neighborhood_Hatillo_6_Hatillo_San_José_SJ","09","Hatillo 6","district_Hatillo_San_José_SJ"
"neighborhood_Hatillo_7_Hatillo_San_José_SJ","10","Hatillo 7","district_Hatillo_San_José_SJ"
"neighborhood_Hatillo_8_Hatillo_San_José_SJ","11","Hatillo 8","district_Hatillo_San_José_SJ"
"neighborhood_Quince_de_Setiembre_Hatillo_San_José_SJ","12","Quince de Setiembre","district_Hatillo_San_José_SJ"
"neighborhood_Sagrada_Familia_Hatillo_San_José_SJ","13","Sagrada Familia","district_Hatillo_San_José_SJ"
"neighborhood_Tiribí_Hatillo_San_José_SJ","14","Tiribí","district_Hatillo_San_José_SJ"
"neighborhood_Topacio_Hatillo_San_José_SJ","15","Topacio","district_Hatillo_San_José_SJ"
"neighborhood_Veinticinco_de_Julio_Hatillo_San_José_SJ","16","Veinticinco de Julio","district_Hatillo_San_José_SJ"
"neighborhood_Vivienda_en_Marcha__Hatillo_San_José_SJ","17","Vivienda en Marcha","district_Hatillo_San_José_SJ"
"neighborhood_Bengala_San_Sebastián_San_José_SJ","01","SAN SEBASTIÁN centro","district_San_Sebastián_San_José_SJ"
"neighborhood_Bilbao_San_Sebastián_San_José_SJ","02","Bengala","district_San_Sebastián_San_José_SJ"
"neighborhood_Cañada_del_Sur_San_Sebastián_San_José_SJ","03","Bilbao","district_San_Sebastián_San_José_SJ"
"neighborhood_Carmen_San_Sebastián_San_José_SJ","04","Cañada del Sur","district_San_Sebastián_San_José_SJ"
"neighborhood_Cascajal_San_Sebastián_San_José_SJ","05","Carmen","district_San_Sebastián_San_José_SJ"
"neighborhood_Cerro_Azul_San_Sebastián_San_José_SJ","06","Cascajal","district_San_Sebastián_San_José_SJ"
"neighborhood_Colombari_San_Sebastián_San_José_SJ","07","Cerro Azul","district_San_Sebastián_San_José_SJ"
"neighborhood_Domingo_Savio_San_Sebastián_San_José_SJ","08","Colombari","district_San_Sebastián_San_José_SJ"
"neighborhood_Guacamaya_San_Sebastián_San_José_SJ","09","Domingo Savio","district_San_Sebastián_San_José_SJ"
"neighborhood_Jazmín_San_Sebastián_San_José_SJ","10","Guacamaya","district_San_Sebastián_San_José_SJ"
"neighborhood_Hogar_Propio_San_Sebastián_San_José_SJ","11","Jazmín","district_San_Sebastián_San_José_SJ"
"neighborhood_Kennedy_San_Sebastián_San_José_SJ","12","Hogar Propio","district_San_Sebastián_San_José_SJ"
"neighborhood_López_Mateos_San_Sebastián_San_José_SJ","13","Kennedy","district_San_Sebastián_San_José_SJ"
"neighborhood_Luna_Park_San_Sebastián_San_José_SJ","14","López Mateos","district_San_Sebastián_San_José_SJ"
"neighborhood_Martínez_San_Sebastián_San_José_SJ","15","Luna Park","district_San_Sebastián_San_José_SJ"
"neighborhood_Mojados_San_Sebastián_San_José_SJ","16","Martínez","district_San_Sebastián_San_José_SJ"
"neighborhood_Mongito_San_Sebastián_San_José_SJ","17","Mojados","district_San_Sebastián_San_José_SJ"
"neighborhood_Monte_Azúl_San_Sebastián_San_José_SJ","18","Mongito","district_San_Sebastián_San_José_SJ"
"neighborhood_Musmanni_San_Sebastián_San_José_SJ","19","Monte Azúl","district_San_Sebastián_San_José_SJ"
"neighborhood_Paso_Ancho_San_Sebastián_San_José_SJ","20","Musmanni","district_San_Sebastián_San_José_SJ"
"neighborhood_Presidentes_San_Sebastián_San_José_SJ","21","Paso Ancho","district_San_Sebastián_San_José_SJ"
"neighborhood_San_Martín_San_Sebastián_San_José_SJ","23","San Cayetano (parte)","district_San_Sebastián_San_José_SJ"
"neighborhood_San_Sebastián_(centro)_San_Sebastián_San_José_SJ","24","San Martín","district_San_Sebastián_San_José_SJ"
"neighborhood_Santa_Rosa_San_Sebastián_San_José_SJ","25","Santa Rosa","district_San_Sebastián_San_José_SJ"
"neighborhood_Seminario_San_Sebastián_San_José_SJ","26","Seminario","district_San_Sebastián_San_José_SJ"
"neighborhood_Sorobarú__San_Sebastián_San_José_SJ","27","Sorobarú","district_San_Sebastián_San_José_SJ"
"neighborhood_Alto_Carrizal_Escazú_Escazú_SJ","01","ESCAZÚ centro","district_Escazú_Escazú_SJ"
"neighborhood_Carrizal_(parte)_Escazú_Escazú_SJ","02","Alto Carrizal","district_Escazú_Escazú_SJ"
"neighborhood_Faroles_Escazú_Escazú_SJ","03","Carrizal (parte)","district_Escazú_Escazú_SJ"
"neighborhood_Guapinol_Escazú_Escazú_SJ","04","Faroles","district_Escazú_Escazú_SJ"
"neighborhood_Hulera_Escazú_Escazú_SJ","05","Guapinol","district_Escazú_Escazú_SJ"
"neighborhood_Itabas_Escazú_Escazú_SJ","06","Hulera","district_Escazú_Escazú_SJ"
"neighborhood_Jaboncillo_Escazú_Escazú_SJ","07","Itabas","district_Escazú_Escazú_SJ"
"neighborhood_Profesores_(parte)__Escazú_Escazú_SJ","08","Jaboncillo","district_Escazú_Escazú_SJ"
"neighborhood_Avellana_San_Antonio_Escazú_SJ","01","SAN ANTONIO centro","district_San_Antonio_Escazú_SJ"
"neighborhood_Bebedero_San_Antonio_Escazú_SJ","02","Avellana","district_San_Antonio_Escazú_SJ"
"neighborhood_Belo_Horizonte_(parte)_San_Antonio_Escazú_SJ","03","Bebedero","district_San_Antonio_Escazú_SJ"
"neighborhood_Carrizal_(parte)_San_Antonio_Escazú_SJ","04","Belo Horizonte (parte)","district_San_Antonio_Escazú_SJ"
"neighborhood_Curío_San_Antonio_Escazú_SJ","05","Carrizal (parte)","district_San_Antonio_Escazú_SJ"
"neighborhood_Chirca_San_Antonio_Escazú_SJ","06","Curío","district_San_Antonio_Escazú_SJ"
"neighborhood_Chiverral_San_Antonio_Escazú_SJ","07","Chirca","district_San_Antonio_Escazú_SJ"
"neighborhood_Entierrillo_San_Antonio_Escazú_SJ","08","Chiverral","district_San_Antonio_Escazú_SJ"
"neighborhood_Filtros_San_Antonio_Escazú_SJ","09","Entierrillo","district_San_Antonio_Escazú_SJ"
"neighborhood_Guayabos_San_Antonio_Escazú_SJ","10","Filtros","district_San_Antonio_Escazú_SJ"
"neighborhood_Hojablanca_San_Antonio_Escazú_SJ","11","Guayabos","district_San_Antonio_Escazú_SJ"
"neighborhood_Juan_Santana_San_Antonio_Escazú_SJ","12","Hojablanca","district_San_Antonio_Escazú_SJ"
"neighborhood_Lajas_San_Antonio_Escazú_SJ","13","Juan Santana","district_San_Antonio_Escazú_SJ"
"neighborhood_Masilla_San_Antonio_Escazú_SJ","14","Lajas","district_San_Antonio_Escazú_SJ"
"neighborhood_Muta_San_Antonio_Escazú_SJ","15","Masilla","district_San_Antonio_Escazú_SJ"
"neighborhood_Pedrero_San_Antonio_Escazú_SJ","16","Muta","district_San_Antonio_Escazú_SJ"
"neighborhood_Perú_San_Antonio_Escazú_SJ","17","Pedrero","district_San_Antonio_Escazú_SJ"
"neighborhood_Profesores_(parte)_San_Antonio_Escazú_SJ","18","Perú","district_San_Antonio_Escazú_SJ"
"neighborhood_Sabanillas_San_Antonio_Escazú_SJ","19","Profesores (parte)","district_San_Antonio_Escazú_SJ"
"neighborhood_Salitrillos_San_Antonio_Escazú_SJ","20","Sabanillas","district_San_Antonio_Escazú_SJ"
"neighborhood_Santa_Eduvigis_San_Antonio_Escazú_SJ","21","Salitrillos","district_San_Antonio_Escazú_SJ"
"neighborhood_Santa_Teresa_San_Antonio_Escazú_SJ","22","Santa Eduvigis","district_San_Antonio_Escazú_SJ"
"neighborhood_Tejarcillos_San_Antonio_Escazú_SJ","23","Santa Teresa","district_San_Antonio_Escazú_SJ"
"neighborhood_Torrotillo_San_Antonio_Escazú_SJ","24","Tejarcillos","district_San_Antonio_Escazú_SJ"
"neighborhood_Anonos_San_Rafael_Escazú_SJ","01","SAN RAFAEL centro","district_San_Rafael_Escazú_SJ"
"neighborhood_Ayala_San_Rafael_Escazú_SJ","02","Anonos","district_San_Rafael_Escazú_SJ"
"neighborhood_Bajo_Anonos_San_Rafael_Escazú_SJ","03","Ayala","district_San_Rafael_Escazú_SJ"
"neighborhood_Bajo_Palomas_San_Rafael_Escazú_SJ","04","Bajo Anonos","district_San_Rafael_Escazú_SJ"
"neighborhood_Belo_Horizonte_(parte)_San_Rafael_Escazú_SJ","05","Bajo Palomas","district_San_Rafael_Escazú_SJ"
"neighborhood_Betina_San_Rafael_Escazú_SJ","06","Belo Horizonte (parte)","district_San_Rafael_Escazú_SJ"
"neighborhood_Ceiba_San_Rafael_Escazú_SJ","07","Betina","district_San_Rafael_Escazú_SJ"
"neighborhood_Facio_Castro_San_Rafael_Escazú_SJ","08","Ceiba","district_San_Rafael_Escazú_SJ"
"neighborhood_Guachipelín_San_Rafael_Escazú_SJ","09","Facio Castro","district_San_Rafael_Escazú_SJ"
"neighborhood_Herrera_San_Rafael_Escazú_SJ","10","Guachipelín","district_San_Rafael_Escazú_SJ"
"neighborhood_Laureles_San_Rafael_Escazú_SJ","11","Herrera","district_San_Rafael_Escazú_SJ"
"neighborhood_León_San_Rafael_Escazú_SJ","12","Laureles","district_San_Rafael_Escazú_SJ"
"neighborhood_Loma_Real_San_Rafael_Escazú_SJ","13","León","district_San_Rafael_Escazú_SJ"
"neighborhood_Matapalo_San_Rafael_Escazú_SJ","14","Loma Real","district_San_Rafael_Escazú_SJ"
"neighborhood_Maynard_San_Rafael_Escazú_SJ","15","Matapalo","district_San_Rafael_Escazú_SJ"
"neighborhood_Mirador_San_Rafael_Escazú_SJ","16","Maynard","district_San_Rafael_Escazú_SJ"
"neighborhood_Miravalles_San_Rafael_Escazú_SJ","17","Mirador","district_San_Rafael_Escazú_SJ"
"neighborhood_Palermo_San_Rafael_Escazú_SJ","18","Miravalles","district_San_Rafael_Escazú_SJ"
"neighborhood_Palma_de_Mallorca_San_Rafael_Escazú_SJ","19","Palermo","district_San_Rafael_Escazú_SJ"
"neighborhood_Pinar_San_Rafael_Escazú_SJ","20","Palma de Mallorca","district_San_Rafael_Escazú_SJ"
"neighborhood_Primavera_San_Rafael_Escazú_SJ","21","Pinar","district_San_Rafael_Escazú_SJ"
"neighborhood_Quesada_San_Rafael_Escazú_SJ","22","Primavera","district_San_Rafael_Escazú_SJ"
"neighborhood_Real_de_Pereira_(parte)_San_Rafael_Escazú_SJ","23","Quesada","district_San_Rafael_Escazú_SJ"
